Date,Rev_t,Rev_c
9/11/2021,6722,1436434
9/12/2021,6691,1515630
9/13/2021,7947,1984128
9/14/2021,7900,1968672
9/15/2021,7319,1894248
9/16/2021,7746,1884518
9/17/2021,8077,1756901
9/18/2021,6624,1482775
9/19/2021,7098,1491319
9/20/2021,8278,1952392
9/21/2021,8696,1937593
9/22/2021,7756,1932448
9/23/2021,7807,1864558
9/24/2021,8333,1704269
9/25/2021,7046,1443348
9/26/2021,7124,1485503
9/27/2021,8460,1991868
9/28/2021,8383,1932072
9/29/2021,8935,1899839
9/30/2021,7472,1845138
10/1/2021,7688,1729262
10/2/2021,6823,1467367
10/3/2021,7399,1576325
10/4/2021,8021,2040322
10/5/2021,8454,1992839
10/6/2021,8477,1956384
10/7/2021,8153,1880693
10/8/2021,8650,1766754
10/9/2021,8650,1518432
10/10/2021,7256,1577021
10/11/2021,8910,2084965
10/12/2021,7994,2025266
10/13/2021,8827,2052944
10/14/2021,8873,1943249
10/15/2021,8671,1748367
10/16/2021,6805,1500293
10/17/2021,7672,1531564
10/18/2021,7100,1636067
10/19/2021,7360,1556483
10/20/2021,8858,1944541
10/21/2021,9849,1925218
10/22/2021,10634,1777617
10/23/2021,7632,1492444
10/24/2021,7998,1547504
10/25/2021,9076,2072168
10/26/2021,8418,2004172
10/27/2021,8675,1963040
10/28/2021,9322,1901337
10/29/2021,8224,1773707
10/30/2021,7624,1519892
10/31/2021,6754,1413865
11/1/2021,8258,1991002
11/2/2021,8360,2056297
11/3/2021,7593,1610150
11/4/2021,8671,2023476
11/5/2021,7725,1888174
11/6/2021,8013,1636469
11/7/2021,7551,1661851
11/8/2021,8829,2122271
11/9/2021,8231,2068355
11/10/2021,7774,1984568
11/11/2021,9075,2054187
